"Town Name, State",Town Name,State,Longitude,Latitude,Coastal,Inland,Urban,Remote,Year Settled,Year Settled,Year Abandoned,Duration (years),Commodities,Mine Size,Mine Type,Mineral Distribution,Town Area (acres),Peak Population
"Campville, Florida",Campville,Florida,-82.116943,29.663549,,,,,,,,0,,,,,,
"Citrus Center, Florida",Citrus Center,Florida,-82.007446,28.64992,,,,,,,,0,,,,,,
"College Hill, Florida",College Hill,Florida,-82.431534,27.97595,,,,,,,,0,,,,,,
"Cornwell, Florida",Cornwell,Florida,-81.187866,27.4119,,,,,,,,0,,,,,,
"Cosme, Florida",Cosme,Florida,-82.571640,28.108681,,,,,,,,0,,,,,,
"Crewsville, Florida",Crewsville,Florida,-81.590652,27.42967,,,,,,,,0,,,,,,
"Cromanton, Florida",Cromanton,Florida,-85.609970,30.08737,,,,,,,,0,,,,,,
"Croom, Florida",Croom,Florida,-82.230583,28.59552,,,,,,,,0,,,,,,
"Edgeville or Sandy, Florida",Edgeville or Sandy,Florida,-82.120567,27.321341,,,,,,,,0,,,,,,
"Eldora, Florida",Eldora,Florida,-80.818199,28.90934,,,,,,,,0,,,,,,
"Ellaville, Florida",Ellaville,Florida,-83.172218,30.38063,,,,,,,,0,,,,,,
"Flamingo, Florida",Flamingo,Florida,-80.931129,25.14072,,,,,,,,0,,,,,,
"Fort Brooke, Florida",Fort Brooke,Florida,-82.333649,29.889034,,,,,,,,0,,,,,,
"Fort Chokonikla, Florida",Fort Chokonikla,Florida,-85.005600,30.4667,,,,,,,,0,,,,,,
"Fort Dade, Florida",Fort Dade,Florida,-82.080763,28.459613,,,,,,,,0,,,,,,
"Fort Dallas, Florida",Fort Dallas,Florida,-82.041368,28.980125,,,,,,,,0,,,,,,
"Fort Desoto, Florida",Fort Desoto,Florida,-81.809898,27.186131,,,,,,,,0,,,,,,
"Fort Drum, Florida",Fort Drum,Florida,-80.806938,27.53063,,,,,,,,0,,,,,,
"Fort Jefferson, Florida",Fort Jefferson,Florida,-82.922249,24.630501,,,,,,,,0,,,,,,
"Fort Kissimmee, Florida",Fort Kissimmee,Florida,-81.043182,27.37718,,,,,,,,0,,,,,,
"Fort Lonesome, Florida",Fort Lonesome,Florida,-82.131248,27.704479,,,,,,,,0,,,,,,
"Garfield, Florida",Garfield,Florida,-81.761227,27.88282,,,,,,,,0,,,,,,
"Goodno, Florida",Goodno,Florida,-81.334000,26.76857,,,,,,,,0,,,,,,
"Green Pond, Florida",Green Pond,Florida,-81.899399,28.307501,,,,,,,,0,,,,,,
"Gulf City, Florida",Gulf City,Florida,-82.460609,27.70594,,,,,,,,0,,,,,,
"Hague, Florida",Hague,Florida,-82.418877,29.770241,,,,,,,,0,,,,,,
"Hall City, Florida",Hall City,Florida,-81.338387,26.89856,,,,,,,,0,,,,,,
"Hampton Springs, Florida",Hampton Springs,Florida,-83.655067,30.08666,,,,,,,,0,,,,,,
"Hicora, Florida",Hicora,Florida,-81.345131,27.181271,,,,,,,,0,,,,,,
"Hopewell, Florida",Hopewell,Florida,-83.444229,30.38278,,,,,,,,0,,,,,,
"Indian Key, Florida",Indian Key,Florida,-82.687698,27.702551,,,,,,,,0,,,,,,
"Indian River City, Florida",Indian River City,Florida,-80.806862,28.5576,,,,,,,,0,,,,,,
"Island Grove, Florida",Island Grove,Florida,-82.106216,29.453461,,,,,,,,0,,,,,,
"Jane Jay, Florida",Jane Jay,Florida,-87.151154,30.951245,,,,,,,,0,,,,,,
"Kenansville, Florida",Kenansville,Florida,-80.988274,27.8764,,,,,,,,0,,,,,,
"Kerr City, Florida",Kerr City,Florida,-81.792824,29.37789,,,,,,,,0,,,,,,
"Kicco, Florida",Kicco,Florida,-80.726196,28.351669,,,,,,,,0,,,,,,
"Lake Fern, Florida",Lake Fern,Florida,-82.580399,28.14958,,,,,,,,0,,,,,,
"Leno, Florida",Leno,Florida,-81.636993,29.89324,,,,,,,,0,,,,,,
"Lulu, Florida",Lulu,Florida,-82.553663,30.055622,,,,,,,,0,,,,,,
"Magnolia, Florida",Magnolia,Florida,-85.725371,30.157915,,,,,,,,0,,,,,,
"Manasota, Florida",Manasota,Florida,-82.404770,27.015181,,,,,,,,0,,,,,,
"Manhattan, Florida",Manhattan,Florida,-82.308067,27.49469,,,,,,,,0,,,,,,
"Montbrook, Florida",Montbrook,Florida,-82.453934,29.326481,,,,,,,,0,,,,,,
"Muscogee, Florida",Muscogee,Florida,-87.386642,30.597321,,,,,,,,0,,,,,,
"Newnansville, Florida",Newnansville,Florida,-82.476898,29.8083,,,,,,,,0,,,,,,
"Old Bethel, Florida",Old Bethel,Florida,-84.324369,30.252674,,,,,,,,0,,,,,,
"Old Venus, Florida",Old Venus,Florida,-81.433770,27.063382,,,,,,,,0,,,,,,
"Orsino, Florida",Orsino,Florida,-80.663841,28.52766,,,,,,,,0,,,,,,
"Parmalee, Florida",Parmalee,Florida,-82.208847,27.36644,,,,,,,,0,,,,,,
"Parramore, Florida",Parramore,Florida,-84.993340,30.86867,,,,,,,,0,,,,,,
"Pembroke, Florida",Pembroke,Florida,-81.811798,27.787701,,,,,,,,0,,,,,,
"Perky, Florida",Perky,Florida,-81.570328,24.64761,,,,,,,,0,,,,,,
"Pigeon Key, Florida",Pigeon Key,Florida,-85.534479,34.096381,,,,,,,,0,,,,,,
"Pine Level, Florida",Pine Level,Florida,-82.037117,27.284069,,,,,,,,0,,,,,,
"Pittman, Florida",Pittman,Florida,-81.641937,28.999161,,,,,,,,0,,,,,,
"Port Leon, Florida",Port Leon,Florida,-84.204742,30.15786,,,,,,,,0,,,,,,
"Port Tampa, Florida",Port Tampa,Florida,-82.526763,27.8636354,,,,,,,,0,,,,,,
"Punta Rassa, Florida",Punta Rassa,Florida,-82.010788,26.48851,,,,,,,,0,,,,,,
"Rochelle, Florida",Rochelle,Florida,-82.218079,29.596939,,,,,,,,0,,,,,,
"Romeo, Florida",Romeo,Florida,-82.438766,29.207781,,,,,,,,0,,,,,,
"Rosewood, Florida",Rosewood,Florida,-82.795349,29.31271,,,,,,,,0,,,,,,
"Runnymede, Florida",Runnymede,Florida,-81.243141,28.275351,,,,,,,,0,,,,,,
"Rye, Florida",Rye,Florida,-82.366570,27.556709,,,,,,,,0,,,,,,
"Sherman, Florida",Sherman,Florida,-80.751709,27.20817,,,,,,,,0,,,,,,
"Sisco, Florida",Sisco,Florida,-81.625031,29.52035,,,,,,,,0,,,,,,
"Spray, Florida",Spray,Florida,-83.604340,30.505171,,,,,,,,0,,,,,,
"St. Francis, Florida",St. Francis,Florida,-81.462418,29.0145,,,,,,,,0,,,,,,
"St. Joseph, Florida",St. Joseph,Florida,-82.286903,28.376511,,,,,,,,0,,,,,,
"Stanton, Florida",Stanton,Florida,-81.914299,28.99824,,,,,,,,0,,,,,,
"Sulphur Springs, Florida",Sulphur Springs,Florida,-82.446182,28.024179,,,,,,,,0,,,,,,
"Sun City, Florida",Sun City,Florida,-82.478561,27.678551,,,,,,,,0,,,,,,
"Torrey, Florida",Torrey,Florida,-81.826462,27.614969,,,,,,,,0,,,,,,
"Traxler, Florida",Traxler,Florida,-82.535210,29.87294,,,,,,,,0,,,,,,
"Vandolah, Florida",Vandolah,Florida,-81.934410,27.59483,,,,,,,,0,,,,,,
"Verna, Florida",Verna,Florida,-82.260406,27.387119,,,,,,,,0,,,,,,
"Vicksburg, Florida",Vicksburg,Florida,-85.659599,30.32213,,,,,,,,0,,,,,,
"Villa City, Florida",Villa City,Florida,-82.718284,30.11992,,,,,,,,0,,,,,,
"Waterbury, Florida",Waterbury,Florida,-82.303383,27.449011,,,,,,,,0,,,,,,
"Welchton, Florida",Welchton,Florida,-81.427727,29.78116,,,,,,,,0,,,,,,
"Welcome, Florida",Welcome,Florida,-82.107239,27.83602,,,,,,,,0,,,,,,
"West Tocoi, Florida",West Tocoi,Florida,-81.617188,29.849871,,,,,,,,0,,,,,,
"Willow, Florida",Willow,Florida,-82.346649,27.64477,,,,,,,,0,,,,,,
"Wilson, Florida",Wilson,Florida,-80.697144,28.64403,,,,,,,,0,,,,,,
"Yamato Colony, Florida",Yamato Colony,Florida,-80.092781,26.407129,,,,,,,,0,,,,,,
"Allatoona, Georgia",Allatoona,Georgia,-84.734268,34.115002,,,,,,,,0,,,,,,
"Auraria, Georgia",Auraria,Georgia,-84.023781,34.47263,,,,,,,,0,,,,,,
"Campbellton, Georgia",Campbellton,Georgia,-84.672447,33.652439,,,,,,,,0,,,,,,
"Ceney, Georgia",Ceney,Georgia,-84.065353,34.0569,,,,,,,,0,,,,,,
"Chestatee, Georgia",Chestatee,Georgia,-83.990829,34.29734,,,,,,,,0,,,,,,
"Chubbtown, Georgia",Chubbtown,Georgia,-85.232239,34.102612,,,,,,,,0,,,,,,
"Creighton, Georgia",Creighton,Georgia,-84.269203,34.293098,,,,,,,,0,,,,,,
"Diamond, Georgia",Diamond,Georgia,-84.411278,34.65229,,,,,,,,0,,,,,,
"Doctortown, Georgia",Doctortown,Georgia,-81.849152,31.659969,,,,,,,,0,,,,,,
"Ebenezer, Georgia",Ebenezer,Georgia,-83.618423,33.709358,,,,,,,,0,,,,,,
"Esom Hill, Georgia",Esom Hill,Georgia,-85.388252,33.950489,,,,,,,,0,,,,,,
"Everett Springs, Georgia",Everett Springs,Georgia,-85.114479,34.493889,,,,,,,,0,,,,,,
"Felton, Georgia",Felton,Georgia,-85.224243,33.888721,,,,,,,,0,,,,,,
"Holland, Georgia",Holland,Georgia,-85.369057,34.356361,,,,,,,,0,,,,,,
"Jacksonboro, Georgia",Jacksonboro,Georgia,-81.623100,32.822201,,,,,,,,0,,,,,,
"Knucklesville, Georgia",Knucklesville,Georgia,-83.084099,32.68845,,,,,,,,0,,,,,,
"Livingston, Georgia",Livingston,Georgia,-83.943222,31.41617,,,,,,,,0,,,,,,
"Marblehill, Georgia",Marblehill,Georgia,-84.339856,34.432994,,,,,,,,0,,,,,,
"Mountain View, Georgia",Mountain View,Georgia,-84.390053,33.644402,,,,,,,,0,,,,,,
"PoBiddy Crossroads, Georgia",PoBiddy Crossroads,Georgia,-84.460345,32.693364,,,,,,,,0,,,,,,
"Scull Shoals, Georgia",Scull Shoals,Georgia,-83.292801,33.728298,,,,,,,,0,,,,,,
"Spring Place, Georgia",Spring Place,Georgia,-84.821098,34.758099,,,,,,,,0,,,,,,
"Tilton, Georgia",Tilton,Georgia,-84.938309,34.665001,,,,,,,,0,,,,,,
"Tyus, Georgia",Tyus,Georgia,-85.201729,33.467651,,,,,,,,0,,,,,,
"Wax, Georgia",Wax,Georgia,-85.107101,34.14695,,,,,,,,0,,,,,,
"Ehpesus, Harnageville",Ehpesus,Harnageville,-83.222931,32.678131,,,,,,,,0,,,,,,
"Apua, Hawaii",Apua,Hawaii,-155.434036,19.58964,,,,,,,,0,,,,,,
"Kaimu, Hawaii",Kaimu,Hawaii,-154.964447,19.36318,,,,,,,,0,,,,,,
"Kalapana, Hawaii",Kalapana,Hawaii,-154.983017,19.358311,,,,,,,,0,,,,,,
"Kapoho, Hawaii",Kapoho,Hawaii,-154.835052,19.5079,,,,,,,,0,,,,,,
"Mana, Hawaii",Mana,Hawaii,-159.765488,22.03828,,,,,,,,0,,,,,,
"Waialee, Hawaii",Waialee,Hawaii,-158.027863,21.684059,,,,,,,,0,,,,,,
"Bay Horse, Idaho",Bay Horse,Idaho,-114.311667,44.397778,,,,,1877,1877,,-1877,"Gold, silver",-1877,,,,
"Bonanza, Idaho",Bonanza,Idaho,-114.727778,44.370556,,,,,1876,1876,1910,34,,34,,,,
"Burke, Idaho",Burke,Idaho,-115.824440,47.518951,,,,,,,,0,,,,,,
"Clayton, Idaho",Clayton,Idaho,-114.399722,44.258889,,,,,1881,1881,NA,#VALUE!,,#VALUE!,,,,
"Cobalt, Idaho",Cobalt,Idaho,-114.223146,45.107134,,,,,,,,0,,,,,,
"Comeback Mining Camp or Ruby City, Idaho",Comeback Mining Camp or Ruby City,Idaho,-114.143219,45.494419,,,,,,,,0,,,,,,
"Custer, Idaho",Custer,Idaho,-114.312714,44.223969,,,,,,,,0,,,,,,
"De Lamar, Idaho",De Lamar,Idaho,-116.744362,43.033131,,,,,,,,0,,,,,,
"Dewey, Idaho",Dewey,Idaho,-116.762348,43.0401592,,,,,,,,0,,,,,,
"Florence, Idaho",Florence,Idaho,-116.028427,45.50082,,,,,,,,0,,,,,,
"Gilmore, Idaho",Gilmore,Idaho,-113.268639,44.458511,,,,,,,,0,,,,,,
"Golden Age camp, Idaho",Golden Age camp,Idaho,-115.683182,45.811111,,,,,,,,0,,,,,,
"Idaho City, Idaho",Idaho City,Idaho,-115.832549,43.82963,,,,,,,,0,,,,,,
"Leesburg, Idaho",Leesburg,Idaho,-114.109077,45.222439,,,,,,,,0,,,,,,
"Mount Idaho, Idaho",Mount Idaho,Idaho,-116.077080,45.903702,,,,,,,,0,,,,,,
"Pioneerville, Idaho",Pioneerville,Idaho,-115.846780,43.9687833,,,,,,,,0,,,,,,
"Placerville, Idaho",Placerville,Idaho,-115.945929,43.942385,,,,,,,,0,,,,,,
"Rocky Bar, Idaho",Rocky Bar,Idaho,-115.159599,43.800621,,,,,,,,0,,,,,,
"Sawtooth City, Idaho",Sawtooth City,Idaho,-114.793854,43.905048,,,,,,,,0,,,,,,
"Silver City, Idaho",Silver City,Idaho,-116.732231,43.01635,,,,,,,,0,,,,,,
"Strevell, Idaho",Strevell,Idaho,-113.201363,42.00621,,,,,,,,0,,,,,,
"Vienna, Idaho",Vienna,Idaho,-77.263657,38.900349,,,,,,,,0,,,,,,
"Yellow Jacket, Idaho",Yellow Jacket,Idaho,-114.529884,44.98323,,,,,,,,0,,,,,,
"Anderson, Illinois",Anderson,Illinois,-90.205482,39.99308,,,,,,,,0,,,,,,
"Barr, Illinois",Barr,Illinois,-90.104591,39.404598,,,,,,,,0,,,,,,
"Cardiff, Illinois",Cardiff,Illinois,-88.306511,41.044788,,,,,,,,0,,,,,,
"Challacombe, Illinois",Challacombe,Illinois,-90.121140,39.218349,,,,,,,,0,,,,,,
"Clifford Eight, Illinois",Clifford Eight,Illinois,-89.078773,37.811279,,,,,,,,0,,,,,,
"Coltonville, Illinois",Coltonville,Illinois,-87.822418,40.567638,,,,,,,,0,,,,,,
"Comer, Illinois",Comer,Illinois,-89.976120,39.28928,,,,,,,,0,,,,,,
"Enos, Illinois",Enos,Illinois,-90.008049,39.293831,,,,,,,,0,,,,,,
"Evans, Illinois",Evans,Illinois,-89.114632,41.029129,,,,,,,,0,,,,,,
"Green Rock, Illinois",Green Rock,Illinois,-90.366419,41.483909,,,,,,,,0,,,,,,
"Greenridge, Illinois",Greenridge,Illinois,-89.802429,39.407028,,,,,,,,0,,,,,,
"Griggsville Landing, Illinois",Griggsville Landing,Illinois,-90.723022,39.70845,,,,,,,,0,,,,,,
"Hagaman, Illinois",Hagaman,Illinois,-90.083260,39.31654,,,,,,,,0,,,,,,
"Horace, Illinois",Horace,Illinois,-87.707047,39.72031,,,,,,,,0,,,,,,
"Kankakee City, Illinois",Kankakee City,Illinois,-88.284104,41.29209,,,,,,,,0,,,,,,
"Kaskaskia, Illinois",Kaskaskia,Illinois,-89.917529,37.916595,,,,,,,,0,,,,,,
"Kumler, Illinois",Kumler,Illinois,-88.578972,40.299358,,,,,,,,0,,,,,,
"Lemmon, Illinois",Lemmon,Illinois,-89.800827,39.53014,,,,,,,,0,,,,,,
"Macoupin, Illinois",Macoupin,Illinois,-89.926071,39.260738,,,,,,,,0,,,,,,
"McVey, Illinois",McVey,Illinois,-89.746529,39.391659,,,,,,,,0,,,,,,
"Miles Station, Illinois",Miles Station,Illinois,-90.107109,39.069279,,,,,,,,0,,,,,,
"Millsdale, Illinois",Millsdale,Illinois,-88.163002,41.43248,,,,,,,,0,,,,,,
"Morse, Illinois",Morse,Illinois,-89.658218,41.220509,,,,,,,,0,,,,,,
"Old Evansville, Illinois",Old Evansville,Illinois,-89.936535,38.091561,,,,,,,,0,,,,,,
"Old Westville, Illinois",Old Westville,Illinois,-87.638619,40.04159,,,,,,,,0,,,,,,
"Orchard Place, Illinois",Orchard Place,Illinois,-88.720128,39.80051,,,,,,,,0,,,,,,
"Parker City, Illinois",Parker City,Illinois,-88.939464,37.99108,,,,,,,,0,,,,,,
"Riverview, Illinois",Riverview,Illinois,-87.886673,42.020279,,,,,,,,0,,,,,,
"Rodden, Illinois",Rodden,Illinois,-90.358360,42.320469,,,,,,,,0,,,,,,
"Santa Fe Park, Illinois",Santa Fe Park,Illinois,-87.909798,41.722061,,,,,,,,0,,,,,,
"Schoper, Illinois",Schoper,Illinois,-89.788582,39.326931,,,,,,,,0,,,,,,
"Valmeyer, Illinois",Valmeyer,Illinois,-90.277755,38.306321,,,,,,,,0,,,,,,
"Weston, Illinois",Weston,Illinois,-88.622787,40.747292,,,,,,,,0,,,,,,
"Womac, Illinois",Womac,Illinois,-89.788223,39.271938,,,,,,,,0,,,,,,
"Baltimore, Indiana",Baltimore,Indiana,-76.609596,39.290569,,,,,,,,0,,,,,,
"Brisco, Indiana",Brisco,Indiana,-87.363739,40.403858,,,,,,,,0,,,,,,
"Chatterton, Indiana",Chatterton,Indiana,-87.242027,40.4035,,,,,,,,0,,,,,,
"Collins, Indiana",Collins,Indiana,-85.384666,41.199928,,,,,,,,0,,,,,,
"Corwin, Indiana",Corwin,Indiana,-85.299202,39.888302,,,,,,,,0,,,,,,
"Elkinsville, Indiana",Elkinsville,Indiana,-86.264030,39.071442,,,,,,,,0,,,,,,
"Glen Hall, Indiana",Glen Hall,Indiana,-87.018125,40.357535,,,,,,,,0,,,,,,
"Granville, Indiana",Granville,Indiana,-85.319160,40.317509,,,,,,,,0,,,,,,
"Heath, Indiana",Heath,Indiana,-86.723877,40.417702,,,,,,,,0,,,,,,
"Locust Grove, Indiana",Locust Grove,Indiana,-84.852669,39.769402,,,,,,,,0,,,,,,
"Monument City, Indiana",Monument City,Indiana,-86.903633,41.719231,,,,,,,,0,,,,,,
"Point Pleasant, Indiana",Point Pleasant,Indiana,-86.118128,39.461461,,,,,,,,0,,,,,,
"Quaker, Indiana",Quaker,Indiana,-87.525192,39.86948,,,,,,,,0,,,,,,
"Randall, Indiana",Randall,Indiana,-87.501480,39.78215,,,,,,,,0,,,,,,
"Sheff, Indiana",Sheff,Indiana,-87.439140,40.706181,,,,,,,,0,,,,,,
"Sloan, Indiana",Sloan,Indiana,-87.476212,40.30164,,,,,,,,0,,,,,,
"Toronto, Indiana",Toronto,Indiana,-87.495598,39.7817,,,,,,,,0,,,,,,
"Walnut Grove, Indiana",Walnut Grove,Indiana,-85.939568,40.161869,,,,,,,,0,,,,,,
"Warrenton, Indiana",Warrenton,Indiana,-87.532143,38.172932,,,,,,,,0,,,,,,
"Bryantsburg, Iowa",Bryantsburg,Iowa,-91.904732,42.581909,,,,,,,,0,,,,,,
"Buchanan, Iowa",Buchanan,Iowa,-91.839706,42.470039,,,,,,,,0,,,,,,
"Donnan, Iowa",Donnan,Iowa,-91.857948,42.90625,,,,,,,,0,,,,,,
"Doris, Iowa",Doris,Iowa,-91.825546,42.485291,,,,,,,,0,,,,,,
"Dudley, Iowa",Dudley,Iowa,-92.616966,41.063271,,,,,,,,0,,,,,,
"Elkport, Iowa",Elkport,Iowa,-91.275589,42.740324,,,,,,,,0,,,,,,
"Green Island, Iowa",Green Island,Iowa,-90.332908,42.151156,,,,,,,,0,,,,,,
"Littleport, Iowa",Littleport,Iowa,-91.369139,42.754062,,,,,,,,0,,,,,,
"Motor, Iowa",Motor,Iowa,-91.350906,42.80962,,,,,,,,0,,,,,,
"National, Iowa",National,Iowa,-91.285301,42.943031,,,,,,,,0,,,,,,
"Shady Grove, Iowa",Shady Grove,Iowa,-92.055061,42.388271,,,,,,,,0,,,,,,
"Siegel, Iowa",Siegel,Iowa,-93.389900,41.938221,,,,,,,,0,,,,,,
"Achilles, Kansas",Achilles,Kansas,-100.889412,39.734219,,,,,,,,0,,,,,,
"Annelly, Kansas",Annelly,Kansas,-97.205544,37.971901,,,,,,,,0,,,,,,
"Chetola or Kill Creek, Kansas",Chetola or Kill Creek,Kansas,-98.320213,38.498058,,,,,,,,0,,,,,,
"Conway, Kansas",Conway,Kansas,-97.786880,38.369301,,,,,,,,0,,,,,,
"Coronado, Kansas",Coronado,Kansas,-101.307823,38.481609,,,,,,,,0,,,,,,
"Farmer City, Kansas",Farmer City,Kansas,-88.641197,40.241791,,,,,,,,0,,,,,,
"Pawnee, Kansas",Pawnee,Kansas,-99.248596,38.175179,,,,,,,,0,,,,,,
"Sibley, Kansas",Sibley,Kansas,-95.195889,38.884417,,,,,,,,0,,,,,,
"Smoky Hill City, Kansas",Smoky Hill City,Kansas,-99.842609,39.364565,,,,,,,,0,,,,,,
"Creelsboro, Kentucky",Creelsboro,Kentucky,-85.203438,36.924122,,,,,,,,0,,,,,,
"Fudge, Kentucky",Fudge,Kentucky,-85.691101,37.822399,,,,,,,,0,,,,,,
"Paradise, Kentucky",Paradise,Kentucky,-87.012260,37.25732,,,,,,,,0,,,,,,
"Scuffletown, Kentucky",Scuffletown,Kentucky,-85.700188,37.890579,,,,,,,,0,,,,,,
"East Krotz Springs, Louisiana",East Krotz Springs,Louisiana,-91.750710,30.53808,,,,,,,,0,,,,,,
"Elliot City, Louisiana",Elliot City,Louisiana,-91.683899,30.555599,,,,,,,,0,,,,,,
"Ruddock, Louisiana",Ruddock,Louisiana,-90.424423,30.2054,,,,,,,,0,,,,,,
"Waterloo, Louisiana",Waterloo,Louisiana,-91.360023,30.687969,,,,,,,,0,,,,,,
"Flagstaff, Maine",Flagstaff,Maine,-70.330276,45.238793,,,,,,,,0,,,,,,
"Perkins Township, Maine",Perkins Township,Maine,-70.381302,44.675598,,,,,,,,0,,,,,,
"Broad Creek, Maryland",Broad Creek,Maryland,-76.997200,38.757801,,,,,,,,0,,,,,,
"Collington, Maryland",Collington,Maryland,-76.759697,38.968658,,,,,,,,0,,,,,,
"Lapidum, Maryland",Lapidum,Maryland,-76.133430,39.59494,,,,,,,,0,,,,,,
"Sinepuxent, Maryland",Sinepuxent,Maryland,-75.152199,38.313099,,,,,,,,0,,,,,,
"Wagner s Point, Maryland",Wagner s Point,Maryland,-75.923759,38.823399,,,,,,,,0,,,,,,
"Dana, Massachusetts",Dana,Massachusetts,-72.266922,42.433899,,,,,,,,0,,,,,,
"Davis or Dogtown, Massachusetts",Davis or Dogtown,Massachusetts,-71.717941,42.163891,,,,,,,,0,,,,,,
"Enfield, Massachusetts",Enfield,Massachusetts,-72.328812,42.308929,,,,,,,,0,,,,,,
"Greenwich, Massachusetts",Greenwich,Massachusetts,-72.269943,42.335091,,,,,,,,0,,,,,,
"North Bridgewater, Massachusetts",North Bridgewater,Massachusetts,-70.999221,41.988611,,,,,,,,0,,,,,,
"Prescott, Massachusetts",Prescott,Massachusetts,-72.366669,42.46516,,,,,,,,0,,,,,,
"Antrim City, Michigan",Antrim City,Michigan,-85.145691,45.010181,,,,,,,,0,,,,,,
"Berryville, Michigan",Berryville,Michigan,-84.437752,42.378689,,,,,,,,0,,,,,,
"Bertrand, Michigan",Bertrand,Michigan,-86.262230,41.77351,,,,,,,,0,,,,,,
"Big Rock, Michigan",Big Rock,Michigan,-84.208870,45.007332,,,,,,,,0,,,,,,
"Bingham, Michigan",Bingham,Michigan,-85.674637,44.869202,,,,,,,,0,,,,,,
"Bond s Mill, Michigan",Bond s Mill,Michigan,-82.587381,42.558642,,,,,,,,0,,,,,,
"Branch, Michigan",Branch,Michigan,-86.048843,43.887932,,,,,,,,0,,,,,,
"Calvin Center, Michigan",Calvin Center,Michigan,-85.934036,41.857841,,,,,,,,0,,,,,,
"Cambridge Junction, Michigan",Cambridge Junction,Michigan,-84.220787,42.059551,,,,,,,,0,,,,,,
"Cleon, Michigan",Cleon,Michigan,-85.888771,44.460819,,,,,,,,0,,,,,,
"Clifton, Michigan",Clifton,Michigan,-83.080139,42.785462,,,,,,,,0,,,,,,
"Colonville, Michigan",Colonville,Michigan,-84.717148,43.87299,,,,,,,,0,,,,,,
"Crescent, Michigan",Crescent,Michigan,-83.056528,44.000525,,,,,,,,0,,,,,,
"Crofton, Michigan",Crofton,Michigan,-85.236053,44.673962,,,,,,,,0,,,,,,
"Damon, Michigan",Damon,Michigan,-84.127319,44.462872,,,,,,,,0,,,,,,
"Deward, Michigan",Deward,Michigan,-84.845032,44.77121,,,,,,,,0,,,,,,
"Dighton, Michigan",Dighton,Michigan,-85.345444,44.08857,,,,,,,,0,,,,,,
"Eckford, Michigan",Eckford,Michigan,-84.876556,42.203159,,,,,,,,0,,,,,,
"Essex, Michigan",Essex,Michigan,-84.670090,43.09726,,,,,,,,0,,,,,,
"Falmouth, Michigan",Falmouth,Michigan,-85.074119,44.24347,,,,,,,,0,,,,,,
"Fayette, Michigan",Fayette,Michigan,-86.664970,45.71891,,,,,,,,0,,,,,,
"Fish Lake, Michigan",Fish Lake,Michigan,-85.066434,43.836475,,,,,,,,0,,,,,,
"Fleming, Michigan",Fleming,Michigan,-84.003830,42.643379,,,,,,,,0,,,,,,
"Frederick, Michigan",Frederick,Michigan,-84.754834,44.778556,,,,,,,,0,,,,,,
"Geels, Michigan",Geels,Michigan,-84.485252,44.422779,,,,,,,,0,,,,,,
"Gibbs City, Michigan",Gibbs City,Michigan,-88.708504,46.226051,,,,,,,,0,,,,,,
"Grafton, Michigan",Grafton,Michigan,-83.394142,42.035591,,,,,,,,0,,,,,,
"Harietta, Michigan",Harietta,Michigan,-86.363564,43.702301,,,,,,,,0,,,,,,
"Harlan, Michigan",Harlan,Michigan,-85.828941,44.434601,,,,,,,,0,,,,,,
"Herron, Michigan",Herron,Michigan,-83.639954,45.060588,,,,,,,,0,,,,,,
"Isadore, Michigan",Isadore,Michigan,-85.803421,44.87748,,,,,,,,0,,,,,,
"Jennings, Michigan",Jennings,Michigan,-85.296494,44.332451,,,,,,,,0,,,,,,
"Leer, Michigan",Leer,Michigan,-83.729012,45.197788,,,,,,,,0,,,,,,
"Lupton, Michigan",Lupton,Michigan,-84.025789,44.42913,,,,,,,,0,,,,,,
"Mandan, Michigan",Mandan,Michigan,-88.013062,47.426609,,,,,,,,0,,,,,,
"Mansfield, Michigan",Mansfield,Michigan,-88.154099,46.087318,,,,,,,,0,,,,,,
"Marlborough, Michigan",Marlborough,Michigan,-85.851791,43.888481,,,,,,,,0,,,,,,
"Mears, Michigan",Mears,Michigan,-86.418289,43.68279,,,,,,,,0,,,,,,
"Meredith, Michigan",Meredith,Michigan,-84.607132,44.129822,,,,,,,,0,,,,,,
"Metz, Michigan",Metz,Michigan,-83.801239,45.285351,,,,,,,,0,,,,,,
"Milton, Michigan",Milton,Michigan,-82.822403,42.689018,,,,,,,,0,,,,,,
"Mitchell, Michigan",Mitchell,Michigan,-83.872551,44.726101,,,,,,,,0,,,,,,
"Mottville, Michigan",Mottville,Michigan,-85.755768,41.79961,,,,,,,,0,,,,,,
"Nessen City, Michigan",Nessen City,Michigan,-85.877197,44.520142,,,,,,,,0,,,,,,
"Nicholsville, Michigan",Nicholsville,Michigan,-85.822998,42.026909,,,,,,,,0,,,,,,
"Nonesuch Mine, Michigan",Nonesuch Mine,Michigan,-89.621033,46.763309,,,,,,,,0,,,,,,
"Park Lake, Michigan",Park Lake,Michigan,-85.226357,44.138432,,,,,,,,0,,,,,,
"Peacock, Michigan",Peacock,Michigan,-85.885559,44.047329,,,,,,,,0,,,,,,
"Pere Cheney, Michigan",Pere Cheney,Michigan,-84.633850,44.574039,,,,,,,,0,,,,,,
"Pinnebog, Michigan",Pinnebog,Michigan,-83.104500,43.93581,,,,,,,,0,,,,,,
"Podunk, Michigan",Podunk,Michigan,-84.037903,42.148701,,,,,,,,0,,,,,,
